GPS Week,GPS TOW [s],Pos Mode,INS Mode,Hdg Mode,SVs Tracked,SVs Used,UTC Date,UTC Time,Lat [deg],Lon [deg],Alt Ellips [m],SOG [m/s],COG [deg],Hdg [deg],Vert Vel [m/s],Roll [deg],Pitch [deg],Yaw [deg],PDOP,HDOP,EHPE [m],EVPE [m],Baseline 2D [m],Baseline 3D [m],Corr. Age [s],Delta TOW [ms],2D Delta Pos [m],3D Delta Pos [m]
,278818.700,1,1,,,15,,,-37.8626780711,144.7422305040,18.8534,0.38,276.524,,0.06,-3.7,4.5,152.1,,,0.17,0.28,,,,,,
2085,278818.800,1,0,,30,15,2019-12-25,05:26:40.799,-37.8626787081,144.7422375093,19.0720,0.03,184.764,,-0.03,,,,1.4,0.7,1.08,2.28,,,,100,0.619,0.656
,278818.800,1,1,,,15,,,-37.8626780775,144.7422304879,18.8619,0.39,275.875,,0.06,-3.7,4.5,152.1,,,0.17,0.28,,,,0,0.620,0.655
2085,278818.900,1,0,,,15,2019-12-25,05:26:40.899,-37.8626787286,144.7422375166,19.0719,0.03,340.710,,0.02,,,,1.4,0.7,1.08,2.28,,,,100,0.621,0.656
,278818.900,1,1,,,15,,,-37.8626780672,144.7422304728,18.8708,0.39,275.262,,0.05,-3.8,4.5,152.1,,,0.17,0.28,,,,0,0.623,0.654
2085,278819.000,1,0,,,15,2019-12-25,05:26:40.999,-37.8626787650,144.7422375382,19.0688,0.02,189.462,,-0.01,,,,1.4,0.7,1.08,2.28,,,,100,0.625,0.656
,278819.000,1,1,,,15,,,-37.8626780782,144.7422304586,18.8786,0.38,275.802,,0.06,-3.7,4.5,152.1,,,0.17,0.28,,,,0,0.626,0.654
2085,278819.100,1,0,,,15,2019-12-25,05:26:41.099,-37.8626787986,144.7422375531,19.0670,0.01,245.225,,-0.00,,,,1.4,0.7,1.08,2.28,,,,100,0.628,0.656
,278819.100,1,1,,,15,,,-37.8626780853,144.7422304425,18.8871,0.38,275.167,,0.06,-3.8,4.5,152.1,,,0.17,0.28,,,,0,0.629,0.654
2085,278819.200,1,0,,,15,2019-12-25,05:26:41.199,-37.8626788225,144.7422376061,19.0645,0.02,51.843,,0.00,,,,1.4,0.7,1.08,2.28,,,,100,0.634,0.659
,278819.200,1,1,,24,15,,,-37.8626780846,144.7422304433,18.8951,0.38,274.574,,0.06,-3.7,4.5,152.1,,,0.17,0.28,,,,0,0.634,0.656
2085,278819.300,1,0,,,15,2019-12-25,05:26:41.299,-37.8626788614,144.7422376428,19.0578,0.01,153.435,,-0.01,,,,1.4,0.7,1.08,2.28,,,,100,0.638,0.658
,278819.300,1,1,,,15,,,-37.8626780945,144.7422304356,18.9026,0.38,274.917,,0.06,-3.7,4.4,152.1,,,0.17,0.28,,,,0,0.638,0.657
2085,278819.400,1,0,,,15,2019-12-25,05:26:41.399,-37.8626789120,144.7422377064,19.0474,0.03,128.290,,-0.02,,,,1.4,0.7,1.08,2.28,,,,100,0.645,0.661
,278819.400,1,1,,,15,,,-37.8626781096,144.7422304456,18.9101,0.38,274.293,,0.06,-3.8,4.5,152.1,,,0.17,0.28,,,,0,0.644,0.658
